[2021/9/24 - 2:36:27] MingQuang vua nap tien vao ket sat Quan An, voi so tien 50,000.
[2021/9/24 - 2:47:29] MingQuang vua nap tien vao ket sat Quan An, voi so tien 80,000.
[2021/9/25 - 19:31:06] MingQuang vua nap tien vao ket sat Quan An, voi so tien 500,000.
[2021/9/25 - 21:43:10] TruongTri Thuan vua nap tien vao ket sat Quan An, voi so tien 200,000.
[2021/9/25 - 21:49:02] TruongTri Thuan vua nap tien vao ket sat Quan An, voi so tien 1,400,000.
[2021/9/26 - 0:26:50] TruongTri Thuan vua nap tien vao ket sat Quan An, voi so tien 5,000,000.
[2021/9/26 - 0:27:47] TruongTri Thuan vua nap tien vao ket sat Quan An, voi so tien 5,000,000.
[2021/9/26 - 0:32:22] TruongTri Thuan vua nap tien vao ket sat Quan An, voi so tien 180,000,000.
[2021/9/26 - 10:57:45] TruongTri Thuan vua nap tien vao ket sat Quan An, voi so tien 1,000,000.
[2021/9/27 - 17:32:43] TruongTri Thuan vua nap tien vao ket sat Quan An, voi so tien 500,000.
[2021/10/1 - 10:48:27] TruongTri Thuan vua nap tien vao ket sat Quan An, voi so tien 238,000,000.
[2021/10/1 - 16:51:32] TruongTri Thuan vua nap tien vao ket sat Quan An, voi so tien 500,000.
[2021/10/4 - 21:59:54] Larry Eriksen vua nap tien vao ket sat Quan An, voi so tien 296,000,000.
[2021/10/4 - 23:13:11] Larry Eriksen vua nap tien vao ket sat Quan An, voi so tien 3,000,000.
[2021/10/5 - 19:32:36] Larry Eriksen vua nap tien vao ket sat Quan An, voi so tien 6,000,000.
[2021/10/5 - 22:12:55] Larry Eriksen vua nap tien vao ket sat Quan An, voi so tien 10,000,000.
[2021/10/6 - 0:02:43] Larry Eriksen vua nap tien vao ket sat Quan An, voi so tien 7,800,000.
[2021/10/7 - 1:10:47] Larry Eriksen vua nap tien vao ket sat Quan An, voi so tien 200,000.
[2021/10/12 - 0:41:01] Larry Eriksen vua nap tien vao ket sat Quan An, voi so tien 180,000,000.
[2021/10/12 - 0:41:40] Larry Eriksen vua nap tien vao ket sat Quan An, voi so tien 11,000,000.
[2021/10/12 - 0:53:40] Larry Eriksen vua nap tien vao ket sat Quan An, voi so tien 10,000,000.
[2021/10/12 - 22:06:33] Larry Eriksen vua nap tien vao ket sat Quan An, voi so tien 1,000,000.
[2021/10/12 - 22:28:44] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 150,000.
[2021/10/13 - 4:08:42] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 2,000,000.
[2021/10/13 - 4:09:03] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 242,000.
[2021/10/13 - 4:55:34] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 200,000.
[2021/10/13 - 23:12:55] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 349,827.
[2021/10/14 - 0:24:02] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 200,000.
[2021/10/14 - 7:01:26] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 120,152.
[2021/10/14 - 20:51:28] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 324,500.
[2021/10/16 - 23:08:30] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 12,100,000.
[2021/10/18 - 5:42:26] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 550,000.
[2021/10/18 - 6:08:32] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 51,000.
[2021/10/19 - 1:12:54] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 250,000.
[2021/10/20 - 1:21:51] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 5,000,000.
[2021/10/20 - 1:25:06] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 134,747.
[2021/10/20 - 4:34:16] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 900,000.
[2021/10/21 - 2:21:07] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 250,000.
[2021/10/21 - 3:36:52] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 200,000.
[2021/10/21 - 6:56:14] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 700,000.
[2021/10/22 - 2:39:25] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 500,000.
[2021/10/23 - 6:25:27] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 2,100,000.
[2021/10/23 - 11:10:27] Ricardo James vua nap tien vao ket sat Quan An, voi so tien 2,000,000.
