[2020/5/5 - 17:45:02] HAC da HOAN THANH NHIEM VU HANG NGAY (ngay 5/5/2020), nhan duoc 70 Urani, 200.000$, 100 kinh nghiem !
[2021/7/18 - 15:28:33] YooShi Jin da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 15:32:20] Dalton Campbell da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 15:40:52] Tom Hanks da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 15:47:01] Otter Steward da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 16:07:23] Yuri Gagarin da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 16:09:56] Zeus Afflecker da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 16:54:54] Scott MCkay da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 17:01:26] Chua he da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 17:42:56] Basil Griffin da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 18:33:15] Hoai Bin da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 18:56:47] Ryan Smith da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 20:52:25] Albert Anhxtanh da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 21:33:30] Banh Khuc da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 21:50:05] Dominic Toretto da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 22:04:58] BANH BAO da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/18 - 23:09:04] Michael Scofield da HOAN THANH NHIEM VU HANG NGAY (ngay 18/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/19 - 2:16:05] Basil Griffin da HOAN THANH NHIEM VU HANG NGAY (ngay 19/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/19 - 2:26:26] Babi Kun da HOAN THANH NHIEM VU HANG NGAY (ngay 19/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/19 - 7:58:17] Ryan Smith da HOAN THANH NHIEM VU HANG NGAY (ngay 19/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/19 - 10:47:07] LongHo Ut da HOAN THANH NHIEM VU HANG NGAY (ngay 19/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/19 - 12:44:03] Kevin Over da HOAN THANH NHIEM VU HANG NGAY (ngay 19/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
[2021/7/19 - 19:38:38] Dalton Campbell da HOAN THANH NHIEM VU HANG NGAY (ngay 19/7/2021), 30.000$, 1 Tui So Cuu, 20 kinh nghiem !
