[2021/9/24 - 2:35:47] MingQuang vua rut tien tu ket sat Quan An, voi so tien 5,000,000.
[2021/9/24 - 2:36:14] MingQuang vua rut tien tu ket sat Quan An, voi so tien 300,000.
[2021/9/24 - 2:47:12] MingQuang vua rut tien tu ket sat Quan An, voi so tien 100,000.
[2021/9/25 - 21:14:06] MingQuang vua rut tien tu ket sat Quan An, voi so tien 1,000,000.
[2021/9/25 - 21:25:12] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 1,500,000.
[2021/9/25 - 22:46:22] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 100,000.
[2021/9/25 - 22:46:37] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 1,000,000.
[2021/9/26 - 0:27:26] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 5,000,000.
[2021/9/26 - 0:42:16] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 10,000,000.
[2021/9/26 - 8:32:53] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 175,000,000.
[2021/9/26 - 10:52:58] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 1,000,000.
[2021/9/26 - 11:54:50] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 380,000.
[2021/9/26 - 22:59:31] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 1,000,000.
[2021/9/27 - 17:32:31] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 1,300,000.
[2021/9/29 - 3:01:09] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 700,000.
[2021/9/29 - 13:27:01] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 1,000,000.
[2021/9/30 - 23:51:15] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 3,000,000.
[2021/10/1 - 16:51:15] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 239,000,000.
[2021/10/2 - 19:24:40] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 1,500,000.
[2021/10/4 - 15:07:12] TruongTri Thuan vua rut tien tu ket sat Quan An, voi so tien 2,000,000.
[2021/10/5 - 18:18:46] Larry Eriksen vua rut tien tu ket sat Quan An, voi so tien 1,000,000.
[2021/10/6 - 10:41:37] Larry Eriksen vua rut tien tu ket sat Quan An, voi so tien 324,000,000.
[2021/10/7 - 0:17:16] Larry Eriksen vua rut tien tu ket sat Quan An, voi so tien 1,600,000.
[2021/10/7 - 1:10:27] Larry Eriksen vua rut tien tu ket sat Quan An, voi so tien 191,198.
[2021/10/7 - 1:10:39] Larry Eriksen vua rut tien tu ket sat Quan An, voi so tien 800.
[2021/10/10 - 10:42:54] Larry Eriksen vua rut tien tu ket sat Quan An, voi so tien 5,000,000.
[2021/10/12 - 22:06:09] Larry Eriksen vua rut tien tu ket sat Quan An, voi so tien 200,000,000.
[2021/10/12 - 22:06:25] Larry Eriksen vua rut tien tu ket sat Quan An, voi so tien 3,900,000.
[2021/10/12 - 23:21:49] Ricardo James vua rut tien tu ket sat Quan An, voi so tien 1,000.
[2021/10/17 - 20:40:05] Ricardo James vua rut tien tu ket sat Quan An, voi so tien 4,000,000.
[2021/10/17 - 22:47:12] Ricardo James vua rut tien tu ket sat Quan An, voi so tien 1,000,000.
[2021/10/20 - 1:22:15] Ricardo James vua rut tien tu ket sat Quan An, voi so tien 23,000,000.
[2021/10/20 - 6:08:57] Ricardo James vua rut tien tu ket sat Quan An, voi so tien 1,000,000.
[2021/10/21 - 1:35:16] Ricardo James vua rut tien tu ket sat Quan An, voi so tien 250,000.
[2021/10/21 - 16:27:35] Ricardo James vua rut tien tu ket sat Quan An, voi so tien 2,000,000.
[2021/10/22 - 18:52:44] Ricardo James vua rut tien tu ket sat Quan An, voi so tien 92,000.
[2021/10/22 - 18:53:17] Ricardo James vua rut tien tu ket sat Quan An, voi so tien 382,000.
